,data_date,rec_count
0,2009-12-28,38
1,2010-01-04,135
2,2010-01-11,127
3,2010-01-18,112
4,2010-01-25,107
5,2010-02-01,107
6,2010-02-08,124
7,2010-02-15,135
8,2010-02-22,138
9,2010-03-01,125
10,2010-03-08,143
11,2010-03-15,136
12,2010-03-22,109
13,2010-03-29,144
14,2010-04-05,146
15,2010-04-12,148
16,2010-04-19,141
17,2010-04-26,133
18,2010-05-03,140
19,2010-05-10,133
20,2010-05-17,138
21,2010-05-24,122
22,2010-05-31,139
23,2010-06-07,131
24,2010-06-14,139
25,2010-06-21,147
26,2010-06-28,137
27,2010-07-05,145
28,2010-07-12,157
29,2010-07-19,136
30,2010-07-26,175
31,2010-08-02,149
32,2010-08-09,145
33,2010-08-16,147
34,2010-08-23,152
35,2010-08-30,137
36,2010-09-06,140
37,2010-09-13,168
38,2010-09-20,140
39,2010-09-27,153
40,2010-10-04,153
41,2010-10-11,154
42,2010-10-18,165
43,2010-10-25,158
44,2010-11-01,113
45,2010-11-08,163
46,2010-11-15,145
47,2010-11-22,157
48,2010-11-29,157
49,2010-12-06,138
50,2010-12-13,123
51,2010-12-20,133
52,2010-12-27,119
53,2011-01-03,114
54,2011-01-10,129
55,2011-01-17,133
56,2011-01-24,139
57,2011-01-31,134
58,2011-02-07,124
59,2011-02-14,128
60,2011-02-21,148
61,2011-02-28,140
62,2011-03-07,153
63,2011-03-14,124
64,2011-03-21,140
65,2011-03-28,150
66,2011-04-04,139
67,2011-04-11,134
68,2011-04-18,142
69,2011-04-25,134
70,2011-05-02,148
71,2011-05-09,129
72,2011-05-16,111
73,2011-05-23,134
74,2011-05-30,137
75,2011-06-06,136
76,2011-06-13,137
77,2011-06-20,140
78,2011-06-27,134
79,2011-07-04,152
80,2011-07-11,141
81,2011-07-18,176
82,2011-07-25,155
83,2011-08-01,149
84,2011-08-08,157
85,2011-08-15,164
86,2011-08-22,130
87,2011-08-29,138
88,2011-09-05,149
89,2011-09-12,154
90,2011-09-19,147
91,2011-09-26,147
92,2011-10-03,130
93,2011-10-10,162
94,2011-10-17,134
95,2011-10-24,115
96,2011-10-31,182
97,2011-11-07,129
98,2011-11-14,155
99,2011-11-21,141
100,2011-11-28,159
101,2011-12-05,137
102,2011-12-12,131
103,2011-12-19,145
104,2011-12-26,119
105,2012-01-02,142
106,2012-01-09,129
107,2012-01-16,121
108,2012-01-23,108
109,2012-01-30,145
110,2012-02-06,124
111,2012-02-13,156
112,2012-02-20,136
113,2012-02-27,157
114,2012-03-05,101
115,2012-03-12,130
116,2012-03-19,143
117,2012-03-26,145
118,2012-04-02,124
119,2012-04-09,160
120,2012-04-16,157
121,2012-04-23,114
122,2012-04-30,164
123,2012-05-07,142
124,2012-05-14,136
125,2012-05-21,154
126,2012-05-28,145
127,2012-06-04,142
128,2012-06-11,141
129,2012-06-18,128
130,2012-06-25,131
131,2012-07-02,148
132,2012-07-09,130
133,2012-07-16,151
134,2012-07-23,155
135,2012-07-30,147
136,2012-08-06,140
137,2012-08-13,133
138,2012-08-20,141
139,2012-08-27,147
140,2012-09-03,181
141,2012-09-10,151
142,2012-09-17,155
143,2012-09-24,146
144,2012-10-01,136
145,2012-10-08,161
146,2012-10-15,152
147,2012-10-22,139
148,2012-10-29,152
149,2012-11-05,135
150,2012-11-12,147
151,2012-11-19,150
152,2012-11-26,117
153,2012-12-03,135
154,2012-12-10,140
155,2012-12-17,125
156,2012-12-24,112
157,2012-12-31,124
158,2013-01-07,136
159,2013-01-14,141
160,2013-01-21,147
161,2013-01-28,135
162,2013-02-04,140
163,2013-02-11,146
164,2013-02-18,145
165,2013-02-25,147
166,2013-03-04,150
167,2013-03-11,160
168,2013-03-18,142
169,2013-03-25,102
170,2013-04-01,167
171,2013-04-08,147
172,2013-04-15,124
173,2013-04-22,123
174,2013-04-29,146
175,2013-05-06,147
176,2013-05-13,127
177,2013-05-20,140
178,2013-05-27,161
179,2013-06-03,148
180,2013-06-10,154
181,2013-06-17,134
182,2013-06-24,144
183,2013-07-01,144
184,2013-07-08,120
185,2013-07-15,148
186,2013-07-22,156
187,2013-07-29,135
188,2013-08-05,144
189,2013-08-12,133
190,2013-08-19,130
191,2013-08-26,132
192,2013-09-02,136
193,2013-09-09,157
194,2013-09-16,154
195,2013-09-23,145
196,2013-09-30,138
197,2013-10-07,141
198,2013-10-14,117
199,2013-10-21,146
200,2013-10-28,119
201,2013-11-04,127
202,2013-11-11,147
203,2013-11-18,148
204,2013-11-25,145
205,2013-12-02,151
206,2013-12-09,137
207,2013-12-16,169
208,2013-12-23,127
209,2013-12-30,149
210,2014-01-06,163
211,2014-01-13,144
212,2014-01-20,148
213,2014-01-27,155
214,2014-02-03,153
215,2014-02-10,157
216,2014-02-17,152
217,2014-02-24,136
218,2014-03-03,115
219,2014-03-10,182
220,2014-03-17,149
221,2014-03-24,151
222,2014-03-31,138
223,2014-04-07,162
224,2014-04-14,161
225,2014-04-21,170
226,2014-04-28,151
227,2014-05-05,167
228,2014-05-12,158
229,2014-05-19,164
230,2014-05-26,178
231,2014-06-02,182
232,2014-06-09,165
233,2014-06-16,152
234,2014-06-23,157
235,2014-06-30,132
236,2014-07-07,153
237,2014-07-14,154
238,2014-07-21,179
239,2014-07-28,157
240,2014-08-04,182
241,2014-08-11,155
242,2014-08-18,165
243,2014-08-25,168
244,2014-09-01,185
245,2014-09-08,179
246,2014-09-15,188
247,2014-09-22,183
248,2014-09-29,138
249,2014-10-06,175
250,2014-10-13,180
251,2014-10-20,168
252,2014-10-27,206
253,2014-11-03,175
254,2014-11-10,194
255,2014-11-17,175
256,2014-11-24,166
257,2014-12-01,202
258,2014-12-08,202
259,2014-12-15,196
260,2014-12-22,161
261,2014-12-29,178
262,2015-01-05,207
263,2015-01-12,194
264,2015-01-19,218
265,2015-01-26,203
266,2015-02-02,185
267,2015-02-09,215
268,2015-02-16,190
269,2015-02-23,203
270,2015-03-02,188
271,2015-03-09,189
272,2015-03-16,189
273,2015-03-23,211
274,2015-03-30,191
275,2015-04-06,236
276,2015-04-13,223
277,2015-04-20,206
278,2015-04-27,186
279,2015-05-04,200
280,2015-05-11,224
281,2015-05-18,237
282,2015-05-25,216
283,2015-06-01,219
284,2015-06-08,201
285,2015-06-15,213
286,2015-06-22,191
287,2015-06-29,217
288,2015-07-06,221
289,2015-07-13,197
290,2015-07-20,222
291,2015-07-27,198
292,2015-08-03,208
293,2015-08-10,219
294,2015-08-17,220
295,2015-08-24,209
296,2015-08-31,234
297,2015-09-07,207
298,2015-09-14,214
299,2015-09-21,170
300,2015-09-28,207
301,2015-10-05,218
302,2015-10-12,217
303,2015-10-19,160
304,2015-10-26,208
305,2015-11-02,212
306,2015-11-09,173
307,2015-11-16,205
308,2015-11-23,194
309,2015-11-30,197
310,2015-12-07,232
311,2015-12-14,220
312,2015-12-21,192
313,2015-12-28,194
314,2016-01-04,222
315,2016-01-11,235
316,2016-01-18,197
317,2016-01-25,228
318,2016-02-01,200
319,2016-02-08,201
320,2016-02-15,205
321,2016-02-22,224
322,2016-02-29,213
323,2016-03-07,233
324,2016-03-14,257
325,2016-03-21,147
326,2016-03-28,227
327,2016-04-04,232
328,2016-04-11,223
329,2016-04-18,215
330,2016-04-25,218
331,2016-05-02,230
332,2016-05-09,216
333,2016-05-16,206
334,2016-05-23,247
335,2016-05-30,247
336,2016-06-06,251
337,2016-06-13,227
